title,price,reviews,rating,company,customerreviews,link
Dennis Lingo Men's Cotton Checkered Casual Shirt,649.0,492,4.0,Dennis Lingo,4.0 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C403_RED_XXL_Red_XXL/dp/B078ZRLTKQ/ref=sr_1_14?keywords=Shirts&qid=1559924489&s=gateway&sr=8-14
Dennis Lingo Men's Checkered Teal Blue Slim Fit Casual Shirt,649.0,74,3.8,Dennis Lingo,3.8 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C413_TEALBLUE_L_Teal/dp/B07D9TH86Y/ref=sr_1_34?keywords=Shirts&qid=1559924489&s=gateway&sr=8-34
Campus Sutra Men's Cotton Casual Shirt,649.0,267,3.3,Campus Sutra,3.3 out of 5 stars,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZ17SHRT_BGCHK1_M_PLN_DNBU_AZ_Denim/dp/B07145FXKJ/ref=sr_1_26?keywords=Shirts&qid=1559924489&s=gateway&sr=8-26
"Urbano Fashion Men's Black, Grey, Yellow Round Neck Full Sleeve T-Shirt",315.0,771,3.9,Urbano Fashion,3.9 out of 5 stars,https://www.amazon.in/Urbano-Fashion-Striped-T-Shirt-cns-rnd-blayel-s/dp/B06XCTRNPP/ref=sr_1_45?keywords=Shirts&qid=1559924489&s=gateway&sr=8-45
Campus Sutra Men's Checkered Casual Shirts,699.0,273,4.2,Campus Sutra,4.2 out of 5 stars,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZZ18SHRT_PNCHK7_M_PLN_BLMA_AZ_M/dp/B07CZDLXCP/ref=sr_1_13?keywords=Shirts&qid=1559924489&s=gateway&sr=8-13
Dennis Lingo Men's Solid Chinese Collar Tblue Casual Shirt,549.0,202,3.8,Dennis Lingo,3.8 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-CC201_Tblue_Medium/dp/B01N6ODMDG/ref=sr_1_20?keywords=Shirts&qid=1559924489&s=gateway&sr=8-20
Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3),499.0,705,4.0,,4.0 out of 5 stars,https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_L/dp/B07CQMYL95/ref=sr_1_48?keywords=Shirts&qid=1559924489&s=gateway&sr=8-48
Dennis Lingo Men's Cotton Casual Shirt,399.0,853,3.7,Dennis Lingo,3.7 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C301_Black_X-Large/dp/B072NYYFLR/ref=sr_1_7?keywords=Shirts&qid=1559924489&s=gateway&sr=8-7
Dennis Lingo Men's Denim Light Blue Solid Casual Shirt,749.0,235,3.5,Dennis Lingo,3.5 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Casual-C501_Light-Blue_Medium/dp/B06XR3XD6L/ref=sr_1_37?keywords=Shirts&qid=1559924489&s=gateway&sr=8-37
Black Collection Men's Cotton T-Shirt (Bcsa0002),478.0,246,3.6,Black Collection,3.6 out of 5 stars,https://www.amazon.in/Black-Collection-Plain-T-Shirt-BCSA0002_White_M/dp/B01EJWF46O/ref=sr_1_51?keywords=Shirts&qid=1559924489&s=gateway&sr=8-51
